Features,Importance 
country,0.029267035
user_settings_crypto_unlocked,0.11863804
attributes_notifications_marketing_push,0.013003978
attributes_notifications_marketing_email,0.012217026
age,0.026195473
days_of_acc,0.019865682
days_from_first_trans,0.018146538
days_from_last_trans,0.073306743
TRANSFER,0.021489572
CARD_PAYMENT,0.026568141
EXCHANGE,0.0155613
ATM,0.02610727
CARD_REFUND,0.012512191
TOPUP,0.024364651
REFUND,0.013879207
TAX,0.003176406
REVERTED,0.019638759
DECLINED,0.021345229
PENDING,0.021541556
FAILED,0.018020059
CANCELLED,0.007335562
OUTBOUND,0.040109627
INBOUND,0.038686458
sum_amount_of_transactions,0.031991286
median_amount_of_transactions,0.016827176
count_of_transactions,0.041546515
REENGAGEMENT_ACTIVE_FUNDS,0.019302051
BLUE_TUESDAY,0.003533418
NO_INITIAL_CARD_USE,0.02903946
ENGAGEMENT_SPLIT_BILL_RESTAURANT,0.010003149
METAL_RESERVE_PLAN,0.002384278
ONBOARDING_TIPS_ACTIVATED_USERS,0.031661261
MADE_MONEY_REQUEST_NOT_SPLIT_BILL,0.009278153
NO_INITIAL_CARD_ORDER,0.019110716
PROMO,0.020089256
WELCOME_BACK,0.004450425
PROMO_CARD_ORDER,0.010180037
LOST_CARD_ORDER,0.015629393
BLACK_FRIDAY,0.034731256
INVEST_IN_GOLD,0.026187287
JOINING_ANNIVERSARY,0.012254756
brand,0.040823624
